"","x","y","extent","depth","vdepth","horizontal","relief","skyline","building","sdi","greeney","pavement"
"1",13469008.6289606,302642.682901159,36700,2974.00441602542,450.605386184584,8200,0.501701698105013,189.450569189382,0.149863760217984,1.61,0.212534059945504,0.356948228882834
"2",13469090.1737317,302686.308576841,36300,2881.52937754226,648.471979964901,8000,0.281990878798657,177.082338541661,0.129476584022039,1.423,0.261707988980716,0.424242424242424
"3",13469211.6237079,302691.691607974,41200,3291.42830264662,984.276729683047,17400,0.492419594776022,179.61606668366,0.169902912621359,1.481,0.145631067961165,0.364077669902913
"4",13468515.4523433,305572.018412967,69700,3147.19060693897,381.885447178725,46600,0.487133251522711,179.910899017461,0.0258249641319943,0.665,0.113342898134864,0.322812051649928
"5",13468550.431644,305571.879468846,60300,3118.66506188528,321.811493642069,46000,0.476632636643629,229.132021013548,0.0232172470978441,0.602,0.0746268656716418,0.353233830845771
"6",13468593.6391881,305573.046621157,40600,3268.91574473584,412.720724210726,23100,0.450156968773522,152.748201314868,0.041871921182266,0.944,0.142857142857143,0.229064039408867
"7",13468680.4561487,305575.43646279,55400,3235.48458617334,506.243062480117,31800,0.855736092916119,128.87889628019,0.0379061371841155,0.738,0.153429602888087,0.272563176895307
"8",13468911.7855026,305573.314666451,85800,3152.80422784458,426.808251155996,56000,0.818060190196063,110.182203020717,0.0745920745920746,1.024,0.1002331002331,0.353146853146853
"9",13469131.5447487,305579.437287861,83200,3284.8150039129,613.752693700775,43800,1.78872073978468,162.110485822188,0.0829326923076923,1.241,0.0625,0.192307692307692
"10",13468994.4174574,305575.615361525,65400,3123.98393131672,536.827359543514,30200,2.29388970649121,118.065961117094,0.0474006116207951,1.022,0.148318042813456,0.264525993883792
"11",13468789.2492029,302596.959177963,44600,2183.02314812108,264.891517323964,11600,0.741129208740013,176.765392308631,0.132286995515695,1.188,0.213004484304933,0.253363228699552
"12",13465932.64783,305457.636692174,19300,279.243741976572,52.0938831384904,13400,1.81432408382376,14.1886475797306,0.0414507772020725,0.273,0,0.538860103626943
"13",13466070.3793423,305460.775800963,51900,810.763282346658,144.632824258205,29300,2.97930198395684,19.3370216976823,0.0597302504816956,0.793,0.0751445086705202,0.38728323699422
"14",13466116.2898464,305461.822170559,51700,656.318853544553,123.869968590593,28600,2.92650472061683,18.9221990452411,0.058027079303675,0.847,0.0870406189555126,0.386847195357834
"15",13466162.2003505,305462.868540156,20100,276.194504872127,54.7476382755755,15600,2.17664330691721,19.3231096247826,0.0248756218905473,0.449,0.00497512437810945,0.482587064676617
"16",13466924.4441984,305497.625332898,78300,2978.02433390724,317.343794853819,53400,0.41415533880648,128.285628671075,0.0574712643678161,1.103,0.0753512132822478,0.261813537675607
"17",13468222.3405749,303405.381707828,22100,2814.17160454346,237.534890928788,4800,0.234324594410466,181.913583603558,0.16289592760181,0.981,0.271493212669683,0.212669683257919
"18",13468244.4627254,303365.27816995,10300,269.300658670034,62.1139327095717,2100,0.22498759311669,14.5946668404571,0.0970873786407767,0.685,0.339805825242718,0.213592233009709
"19",13468354.0657378,303164.210984068,16900,2721.92850620616,397.452419521843,2700,0.61959329386602,260.352144406822,0.124260355029586,1.294,0.272189349112426,0.118343195266272
"20",13468376.0862575,303124.049852342,16000,2679.31527955049,356.168653475039,3900,0.550103695610913,280.45658483825,0.1625,1.229,0.2,0.14375
"21",13468398.0427408,303083.853704402,8300,874.450356088988,178.883294456586,1300,0.495136830640505,221.043223475742,0.156626506024096,1.064,0.313253012048193,0.144578313253012
"22",13468633.9821092,302886.053610886,9100,1151.44138257585,175.376974636164,800,0.184635334714966,256.434795883683,0.373626373626374,0.716,0.164835164835165,0.10989010989011
